Taxa,Metabolite,Potential Score
Halomonas,L-Formylkynurenine,1.945874e-05
Marinobacter,L-Formylkynurenine,1.946124e-05
Algoriphagus,L-Formylkynurenine,1.946275e-05
Amycolatopsis,L-Formylkynurenine,1.946326e-05
Pseudoalteromonas,L-Formylkynurenine,1.946326e-05
Actinomadura,L-Formylkynurenine,1.946376e-05
Demequina,L-Formylkynurenine,1.946477e-05
Hymenobacter,L-Formylkynurenine,1.946477e-05
Nocardioides,L-Formylkynurenine,1.946477e-05
Roseovarius,L-Formylkynurenine,1.946477e-05
Devosia,L-Formylkynurenine,1.946527e-05
Liquorilactobacillus,L-Formylkynurenine,1.946527e-05
Sulfitobacter,L-Formylkynurenine,1.946527e-05
Acetobacter,L-Formylkynurenine,1.946578e-05
Pseudonocardia,L-Formylkynurenine,1.946578e-05
Actinoplanes,L-Formylkynurenine,1.946628e-05
Marinomonas,L-Formylkynurenine,1.946628e-05
Mycolicibacter,L-Formylkynurenine,1.946679e-05
Pontibacter,L-Formylkynurenine,1.946679e-05
Actinokineospora,L-Formylkynurenine,1.946729e-05
Aquimarina,L-Formylkynurenine,1.946729e-05
Companilactobacillus,L-Formylkynurenine,1.946729e-05
Jannaschia,L-Formylkynurenine,1.946729e-05
Roseivivax,L-Formylkynurenine,1.946729e-05
Secundilactobacillus,L-Formylkynurenine,1.946729e-05
Caballeronia,L-Formylkynurenine,1.946780e-05
Carnobacterium,L-Formylkynurenine,1.946780e-05
Celeribacter,L-Formylkynurenine,1.946780e-05
